state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,Active,F,Suburban,Married,Corporate Auto,Corporate L3,O1,Agent,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,Inactive,F,Suburban,Single,Personal Auto,Personal L3,O3,Agent,Four-Door Car,Medsize
Nevada,No,Premium,Bachelor,Active,F,Suburban,Married,Personal Auto,Personal L3,O1,Agent,Two-Door Car,Medsize
California,No,Basic,Bachelor,Inactive,M,Suburban,Married,Corporate Auto,Corporate L2,O1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,Active,M,Rural,Single,Personal Auto,Personal L1,O1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,Active,F,Rural,Married,Personal Auto,Personal L3,O2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,College,Active,F,Suburban,Married,Corporate Auto,Corporate L3,O1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Higher,Inactive,M,Urban,Single,Corporate Auto,Corporate L3,O1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,Inactive,M,Suburban,Divorced,Corporate Auto,Corporate L3,O1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,Active,F,Urban,Married,Special Auto,Special L2,O2,Branch,Four-Door Car,Medsize
California,No,Basic,College,Inactive,M,Suburban,Single,Personal Auto,Personal L3,O1,Agent,Four-Door Car,Small
California,No,Basic,College,Inactive,F,Suburban,Married,Personal Auto,Personal L3,O2,Agent,SUV,Medsize
California,No,Premium,Higher,Active,M,Urban,Married,Corporate Auto,Corporate L1,O2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,Active,M,Suburban,Married,Corporate Auto,Corporate L3,O2,Branch,SUV,Medsize
California,No,Basic,College,Active,M,Urban,Single,Corporate Auto,Corporate L3,O4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Active,F,Rural,Married,Corporate Auto,Corporate L2,O2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Inactive,M,Suburban,Married,Personal Auto,Personal L3,O2,Call Center,Two-Door Car,Medsize
California,No,Basic,College,Inactive,M,Suburban,Married,Personal Auto,Personal L2,O3,Call Center,SUV,Medsize
Oregon,No,Basic,College,Active,M,Urban,Married,Personal Auto,Personal L2,O2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,Active,F,Suburban,Married,Corporate Auto,Corporate L2,O1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,Active,M,Suburban,Single,Personal Auto,Personal L2,O1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Bachelor,Inactive,F,Suburban,Divorced,Personal Auto,Personal L3,O4,Call Center,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,Inactive,M,Suburban,Divorced,Personal Auto,Personal L3,O1,Agent,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,Inactive,F,Suburban,Single,Corporate Auto,Corporate L3,O1,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,Inactive,F,Suburban,Married,Corporate Auto,Corporate L2,O2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,Active,M,Suburban,Married,Personal Auto,Personal L3,O2,Call Center,Four-Door Car,Large
California,No,Premium,Bachelor,Inactive,F,Suburban,Single,Personal Auto,Personal L3,O1,Agent,Four-Door Car,Small
Washington,No,Extended,Higher,Inactive,F,Urban,Married,Corporate Auto,Corporate L1,O1,Branch,SUV,Medsize
Arizona,No,Premium,College,Active,F,Suburban,Single,Personal Auto,Personal L3,O1,Call Center,Four-Door Car,Large
Oregon,No,Extended,Higher,Active,F,Suburban,Married,Personal Auto,Personal L3,O2,Branch,Four-Door Car,Small
Arizona,No,Basic,College,Active,M,Suburban,Married,Personal Auto,Personal L2,O4,Call Center,Four-Door Car,Small
Nevada,No,Extended,High School or Below,Active,M,Urban,Married,Corporate Auto,Corporate L2,O2,Agent,Luxury,Medsize
California,No,Basic,Bachelor,Inactive,M,Urban,Married,Personal Auto,Personal L3,O1,Call Center,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,Active,M,Suburban,Married,Corporate Auto,Corporate L2,O1,Agent,Two-Door Car,Small
Oregon,No,Basic,Bachelor,Active,F,Rural,Married,Corporate Auto,Corporate L1,O3,Web,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Active,F,Urban,Married,Personal Auto,Personal L1,O1,Branch,Four-Door Car,Medsize
California,No,Premium,Bachelor,Active,M,Suburban,Married,Personal Auto,Personal L3,O1,Agent,Four-Door Car,Small
